topic,avg_time,tp90,max_time,min_time
topic-001,0.0022893602017937525,0.004244327545166,0.092033624649048,0.000592470169067
topic-002,0.0018700354769290570,0.003039121627808,0.019796609878540,0.000632047653198
topic-003,0.0019992151876334929,0.003635883331299,0.022236585617065,0.000905513763428
topic-004,0.0025378536890057877,0.004987239837646,0.034522771835327,0.001006841659546
topic-0012,,,,
topic-0023,,,,
topic-0020,,,,
topic-0022,,,,
topic-0021,,,,
topic-namkt,0.0068449776712054238,0.012355089187622,0.040965795516968,0.002003669738770
